DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
192021062,12/08/2019,12/08/2019,0005,20,Olympic,2029,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3102 3401 3701 4027,18,,,101,STREET,W  4TH                          ST,VERMONT,"(34.0674, -118.2916)",23081,578,1317,,8,80
190128780,12/08/2019,12/08/2019,0005,01,Central,0192,997,TRAFFIC COLLISION,3030 0605 3101 3401 3701 3006,18,M,X,101,STREET,OLIVE                        ST,PICO                         BL,"(34.0373, -118.2637)",23076,693,1291,,9,76
190125499,10/20/2019,10/20/2019,0005,01,Central,0159,997,TRAFFIC COLLISION,3101 3401 3701 3004 3030 0605,38,M,A,101,STREET,INDUSTRIAL                   ST,MATEO,"(34.0357, -118.2324)",23082,533,1287,,9,28
191422473,10/23/2019,10/23/2019,0005,14,Pacific,1477,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4014,38,M,W,101,STREET,LA TIJERA                    AV,AIRPORT                      DR,"(33.9648, -118.3858)",23676,925,1069,10,10,16
201909265,04/30/2020,04/30/2020,0005,19,Mission,1999,997,TRAFFIC COLLISION,3004 3037 3030 3028 3101 4026,33,F,H,101,STREET,ROSCOE,WOODMAN,"(34.2217, -118.4328)",19730,151,1040,,3,59
201005794,02/11/2020,02/11/2020,0005,10,West Valley,1003,997,TRAFFIC COLLISION,3004 3037 3602 3028 3039 3101 4026,39,F,H,101,STREET,RESEDA                       BL,SATICOY                      ST,"(34.2084, -118.536)",18909,254,284,,2,12
200606221,02/16/2020,02/16/2020,0005,06,Hollywood,0644,997,TRAFFIC COLLISION,3006 3028 3034 3037 3101 3401 3701 4027 3002,50,M,O,101,STREET,SUNSET                       BL,SIERRA BONITA                AV,"(34.0981, -118.3539)",23677,413,457,,7,82
191225348,10/22/2019,10/22/2019,0005,12,77th Street,1213,997,TRAFFIC COLLISION,4012 3037 3006 3025 3101 0605,64,M,B,101,STREET,WILTON                       PL,57TH                         ST,"(33.991, -118.3149)",24027,743,622,7,14,35
191225733,10/29/2019,10/29/2019,0005,12,77th Street,1256,997,TRAFFIC COLLISION,4012 3037 3004 3028 3030 3101 0605,18,X,X,101,STREET,S  FIGUEROA                     ST,74TH                         ST,"(33.9727, -118.2827)",23675,775,756,7,14,
191225586,10/23/2019,10/23/2019,0005,12,77th Street,1243,997,TRAFFIC COLLISION,4012 3037 3004 3028 3030 3101 0605,47,M,B,101,STREET,FLORENCE                     AV,HARVARD                      BL,"(33.9746, -118.3068)",23678,770,1054,7,14,35
201815735,08/14/2020,08/14/2020,0005,18,Southeast,1806,997,TRAFFIC COLLISION,,30,M,H,101,STREET,S  AVALON                       BL,E  89TH                         ST,"(33.9556, -118.2651)",22351,799,1173,7,13,45
200214128,08/23/2020,08/23/2020,0005,02,Rampart,0231,997,TRAFFIC COLLISION,3101 3401 3701 0605 3006 3026 3039,33,F,H,101,STREET,BEVERLY                      BL,OCCIDENTAL,"(34.0709, -118.2801)",24352,555,941,,8,80
200808964,04/27/2020,04/22/2020,0005,08,West LA,0892,997,TRAFFIC COLLISION,0605,21,M,A,101,STREET,2400    CORINTH                      AV,,"(34.0339, -118.439)",24029,889,1128,9,10,50
